n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
81,DYgAxy0iE3j,https://www.instagram.com/p/DYgAxy0iE3j/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-19,376629,42327,138,68,no
82,DZ5VW8Alfam,https://www.instagram.com/p/DZ5VW8Alfam/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-22,372781,27310,528,54,no
83,Dbg3X5_mjgt,https://www.instagram.com/p/Dbg3X5_mjgt/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-01,360472,11529,233,64,no
84,DaLW9snj2ox,https://www.instagram.com/p/DaLW9snj2ox/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-29,338815,18494,398,73,no
85,DZ-fH0Igpoe,https://www.instagram.com/p/DZ-fH0Igpoe/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-24,326991,19325,282,65,no
86,Das1UCQjgRY,https://www.instagram.com/p/Das1UCQjgRY/,"Comenta ""JURADO"" para darte acceso este 14 de Julio a mi clase en directo y ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-12,326274,14955,1236,130,no
87,DZOT1GyD36n,https://www.instagram.com/p/DZOT1GyD36n/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-06,321713,20030,78,54,no
88,DbT09r2F0Z8,https://www.instagram.com/p/DbT09r2F0Z8/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-27,313805,9890,462,52,no
89,Davx1I2FYmt,https://www.instagram.com/p/Davx1I2FYmt/,"Comenta ""JURADO"" para darte acceso este 14 de Julio a mi clase en directo y ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-13,313548,17207,89,89,no
90,DavdRXOEYd_,https://www.instagram.com/p/DavdRXOEYd_/,"Comenta ""JURADO"" para darte acceso este 14 de Julio a mi clase en directo y ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-13,312929,12453,408,86,no
91,DZlGyTToEq1,https://www.instagram.com/p/DZlGyTToEq1/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-14,304100,17300,852,152,no
92,DZ0L1SfCuxB,https://www.instagram.com/p/DZ0L1SfCuxB/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-20,297483,11079,229,29,no
93,DX12IcuOTdK,https://www.instagram.com/p/DX12IcuOTdK/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-02,294633,24678,54,68,no
94,DZ2wi1iGG_L,https://www.instagram.com/p/DZ2wi1iGG_L/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-21,285240,18192,241,57,no
95,DalDV04D4fH,https://www.instagram.com/p/DalDV04D4fH/,"Este 14 d de julio daré una clase en directo para ayudarte a cambiar tu vida y tu comunicación.  Comenta ""JURADO"" para darte acceso👇",@juradonegocios,2026-07-09,285185,8986,335,90,no
