n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
58,DPweeT3ER-e,https://www.instagram.com/p/DPweeT3ER-e/,Comenta “DIEGO” 👇 Si quieres ver los vídeos que hice para llegar a 500.000 seguidores y te envío la formación privada antes que la borre,@herasmedia,2025-10-13,145189,3428,1611,83,no
59,CjqjkGBph3E,https://www.instagram.com/p/CjqjkGBph3E/,"Venderás más, si haces esto. 👇",@victorherasemprendedor,2022-10-13,145036,6665,281,60,no
60,DYcjZozRKH-,https://www.instagram.com/p/DYcjZozRKH-/,"Comenta ""SUSI""👇 y te mando la clase donde explico todo y tenemos una llamada 1 a 1 para conseguirlo con tu cuenta",@herasmedia,2026-05-17,141964,4890,3038,87,no
61,DSLLebdkUN5,https://www.instagram.com/p/DSLLebdkUN5/,"Si quieres aprender a hacer videos virales para tu nicho en concreto, comenta cuál es tu nicho👇",@herasmedia,2025-12-12,141195,8028,1929,88,no
62,DU6Nkj8kUSY,https://www.instagram.com/p/DU6Nkj8kUSY/,"Si quieres aprender cuál es el plan de contenidos y ventas para escalar a 100.000 seguidores y 20.000€/mes comenta ""SOLUCIÓN"" 👇",@herasmedia,2026-02-18,140288,5383,2188,88,no
63,CnNSchiK91F,https://www.instagram.com/p/CnNSchiK91F/,Todos padecen de esto pero no saben las grandes oportunidades que vienen delante.,@victorherasemprendedor,2023-01-09,139932,6226,61,84,no
64,DNlisq_xnxE,https://www.instagram.com/p/DNlisq_xnxE/,Si mañana me despertara con 0 seguidores esto es exactamente lo que haría para llegar a 100k seguidores,@herasmedia,2025-08-20,136559,4284,2154,82,no
65,DVMXBDLEbdw,https://www.instagram.com/p/DVMXBDLEbdw/,"Si quieres ganar 100.000 seguidores y 20.000€/Mes con tu cuenta de instagram, comenta ""YO""👇",@herasmedia,2026-02-25,132259,5895,834,89,no
66,DXPbFWtx4Vw,https://www.instagram.com/p/DXPbFWtx4Vw/,"Comenta ""GRUPO""👇 para acceder a los grupos de WhatsApp y ver la metodología exacta para llegar a 100.000 seguidores en 30 días",@herasmedia,2026-04-17,130085,3988,2004,68,no
67,DbYjP-mRvrC,https://www.instagram.com/p/DbYjP-mRvrC/,"Comenta ""CUENTA"" 👇 y te mando el plan enfocado pas tu cuenta en concreto",@herasmedia,2026-07-29,124079,4584,5121,62,no
68,DTLY9I1EVwB,https://www.instagram.com/p/DTLY9I1EVwB/,"Si quieres saber cómo hacer contenido viral para tu nicho, comenta cuál es nicho👇",@herasmedia,2026-01-06,123644,3138,1410,64,no
69,CiYNXCTDYoZ,https://www.instagram.com/p/CiYNXCTDYoZ/,Tonto pero eficaz.,@victorherasemprendedor,2022-09-11,123483,3401,89,77,no
70,DQKNh_AkVz0,https://www.instagram.com/p/DQKNh_AkVz0/,Comenta “ ALFREDO “ y te explico cómo hacer contenido viral para tu nicho en concreto 👇,@herasmedia,2025-10-23,122746,3629,2736,82,no
71,DMVxiQXx04S,https://www.instagram.com/p/DMVxiQXx04S/,Comenta “CUENTA” y te lo envío antes de que lo borre,@herasmedia,2025-07-20,122497,3301,2033,82,no
72,Cj04uXPpZa0,https://www.instagram.com/p/Cj04uXPpZa0/,Simples pasos para ganar.,@victorherasemprendedor,2022-10-17,117963,2426,1252,63,no
73,DZK7TUzRXH_,https://www.instagram.com/p/DZK7TUzRXH_/,"Comenta ""CINCO""👇 si quieres saber cómo puedes aplicar este sistema 5:1 con tu cuenta, tu nicho y tu marca",@herasmedia,2026-06-04,117092,4483,4124,64,no
74,Cj_IfuQJvbx,https://www.instagram.com/p/Cj_IfuQJvbx/,La historia detrás de 1 millón. 😳,@victorherasemprendedor,2022-10-21,115342,3392,203,72,no
75,DSslIvfkZ6Y,https://www.instagram.com/p/DSslIvfkZ6Y/,"Si quieres saber cómo hacerte viral en tu nicho, simplemente comenta tu nicho👇",@herasmedia,2025-12-25,115297,3846,1356,81,no
76,DTGW0CQjwT9,https://www.instagram.com/p/DTGW0CQjwT9/,Qué mono 🥰,@victorherasemprendedor,2026-01-04,114844,2694,29,14,no
77,DRaJ7wKkV28,https://www.instagram.com/p/DRaJ7wKkV28/,"Si quieres saber cómo hacer contenido viral para cualquier nicho, comenta ""VIRAL""👇",@herasmedia,2025-11-23,113790,3332,1097,60,no
78,DXHmkVzR_jA,https://www.instagram.com/p/DXHmkVzR_jA/,Comenta “GRUPO”👇🏻 para ver cómo 4 personas ganan 100k seguidores en 30 días.,@herasmedia,2026-04-14,112201,4273,1167,40,no
79,DVEuYRLke1R,https://www.instagram.com/p/DVEuYRLke1R/,"Si quieres aprender a vender por Instagram como Lordconstruye sin gastar en anuncios, comenta ""SISTEMA""👇",@herasmedia,2026-02-22,109688,5089,3205,84,no
80,CjYlpEkJ9Sc,https://www.instagram.com/p/CjYlpEkJ9Sc/,Esta técnica atrae clientes.,@victorherasemprendedor,2022-10-06,105988,2015,199,88,no
81,CpilVEPsBQF,https://www.instagram.com/p/CpilVEPsBQF/,Fíjate en lo importante y vende más. 🤑,@victorherasemprendedor,2023-03-08,103767,4161,44,48,no
82,DNdwwc0N5kG,https://www.instagram.com/p/DNdwwc0N5kG/,Comenta “VIRAL” y te explico el método para llegar a 100.000 seguidores en 30 días👇,@herasmedia,2025-08-17,103719,2872,1304,71,no
