n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,formato,transcripto
309,https://vt.tiktok.com/ZSy5FqNyP,top semanal @frasesdelsensei ZSy5FqNyP,tiktok,@frasesdelsensei,2025-10-29,,,,tiktok,no
310,https://vt.tiktok.com/ZSyn1oVu7,top semanal @lasprimasdelsensei ZSyn1oVu7,tiktok,@lasprimasdelsensei,2025-11-05,,,,tiktok,no
311,https://vt.tiktok.com/ZSfWggFXD,top semanal @senseialma ZSfWggFXD,tiktok,@senseialma,2025-11-26,,,,tiktok,no
312,https://www.youtube.com/shorts/FVyYCBtRibY,top semanal @habitosdelsensei FVyYCBtRibY,youtube,@habitosdelsensei,2025-08-29,,,,short,no
313,https://www.tiktok.com/@relojesdelsensei/video/7554064661394558264,top semanal @relojesdelsensei 7554064661394558264,tiktok,@relojesdelsensei,2025-09-19,,,,tiktok,no
314,https://www.instagram.com/reel/DQCZwlcjsRJ/,top semanal cuenta sin dato DQCZwlcjsRJ,instagram,SIN DATO (CM: Valeria),2025-10-16,,,,reel,no
315,https://vt.tiktok.com/ZSUMKfNH2,top semanal @senseialma ZSUMKfNH2,tiktok,@senseialma,2025-09-26,,,,tiktok,no
316,https://www.instagram.com/p/DQzCgLpEbau/,top semanal @librosdelsensei DQzCgLpEbau,instagram,@librosdelsensei,2025-11-05,,,,reel,no
317,https://www.instagram.com/reel/DQjxmYekRfy/,top semanal @senseialma DQjxmYekRfy,instagram,@senseialma,2025-10-29,,,,reel,no
318,https://www.instagram.com/reel/DNTbOzbhKd-/,top semanal cuenta sin dato DNTbOzbhKd-,instagram,SIN DATO (CM: María),2025-08-08,,,,reel,no
319,https://vt.tiktok.com/ZSUM7nhe9,top semanal @senseicontenidos ZSUM7nhe9,tiktok,@senseicontenidos,2025-09-26,,,,tiktok,no
320,https://www.tiktok.com/@librosdelsensei/video/7557033488998763788,top semanal @librosdelsensei 7557033488998763788,tiktok,@librosdelsensei,2025-10-02,,,,tiktok,no
321,http://www.youtube.com/shorts/shuwGIsIn7U,top semanal @relojesdelsensei shuwGIsIn7U,youtube,@relojesdelsensei,2025-11-26,,,,short,no
322,https://vt.tiktok.com/ZSUKNdrcG,top semanal @senseimentalidad ZSUKNdrcG,tiktok,@senseimentalidad,2025-09-12,,,,tiktok,no
323,https://www.youtube.com/shorts/dEbBMT3P32s,top semanal @elsenseireel dEbBMT3P32s,youtube,@elsenseireel,2025-11-19,,,,short,no
324,https://www.youtube.com/shorts/QXyCzLVoamE,top semanal @senseialma QXyCzLVoamE,youtube,@senseialma,2025-08-01,,,,short,no
325,https://vm.tiktok.com/ZMAgSYA1L,top semanal @senseirich_ ZMAgSYA1L,tiktok,@senseirich_,2025-08-15,,,,tiktok,no
326,https://vm.tiktok.com/ZMAXkYQeB,top semanal @Lavozdelsensei ZMAXkYQeB,tiktok,@Lavozdelsensei,2025-10-09,,,,tiktok,no
327,https://www.tiktok.com/t/ZP8AAgs8w,top semanal @senseideverdad t,tiktok,@senseideverdad,2025-10-02,,,,tiktok,no
