n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
70,Da_JqrIR7VS,https://www.instagram.com/p/Da_JqrIR7VS/,#elsensei #senseiprofe,@librosdelsensei,2026-07-19,7379,356,1,62,no
71,Dbvkz9lxmtb,https://www.instagram.com/p/Dbvkz9lxmtb/,#elsensei #senseiprofe,@librosdelsensei,2026-08-07,7266,252,1,37,no
72,DaQNJInRW1O,https://www.instagram.com/p/DaQNJInRW1O/,#elsensei #senseiprofe,@librosdelsensei,2026-07-01,7037,460,21,46,no
73,DY5qcWLRgXk,https://www.instagram.com/p/DY5qcWLRgXk/,#elsensei #senseiprofe,@librosdelsensei,2026-05-28,7023,544,13,18,no
74,DZIDS7-xY39,https://www.instagram.com/p/DZIDS7-xY39/,Comenta 👇🏻 “Invertir”,@librosdelsensei,2026-06-03,7004,234,23,38,no
75,DZFo7t8xZiA,https://www.instagram.com/p/DZFo7t8xZiA/,Comenta 👇🏻 “Aprender”,@librosdelsensei,2026-06-02,6739,328,57,76,no
76,Dbn82Cqxn6Q,https://www.instagram.com/p/Dbn82Cqxn6Q/,#elsensei #senseiprofe,@librosdelsensei,2026-08-04,6245,488,125,60,no
77,Db8fKH6RIPT,https://www.instagram.com/p/Db8fKH6RIPT/,#elsensei #senseiprofe,@librosdelsensei,2026-08-12,6229,281,11,37,no
78,DbbaU2Jxkni,https://www.instagram.com/p/DbbaU2Jxkni/,#elsensei #senseiprofe,@librosdelsensei,2026-07-30,6003,194,0,44,no
79,DY8q0Msx56D,https://www.instagram.com/p/DY8q0Msx56D/,Comenta 👇🏻 “Clase”,@librosdelsensei,2026-05-30,5773,280,4,53,no
80,DY9z69TRc95,https://www.instagram.com/p/DY9z69TRc95/,Comenta 👇🏻 “Clase”,@librosdelsensei,2026-05-30,5446,264,29,37,no
81,DbdXSeUxWyQ,https://www.instagram.com/p/DbdXSeUxWyQ/,#elsensei #senseiprofe,@librosdelsensei,2026-07-31,5351,255,2,23,no
82,DY7SBuvxKQX,https://www.instagram.com/p/DY7SBuvxKQX/,Comenta 👇🏻 “Clase”,@librosdelsensei,2026-05-29,5271,211,19,82,no
83,DbYdJT_xlNE,https://www.instagram.com/p/DbYdJT_xlNE/,#elsensei #senseiprofe,@librosdelsensei,2026-07-29,5229,257,3,53,no
