n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,duracion_seg,formato,transcripto
49,https://www.youtube.com/watch?v=hT5Cz5YjUeU,"Si es muy duro pero debes hacerlo, 🚀 mínimo $10.000 USD al Mes ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
50,https://www.youtube.com/watch?v=pPpfc_Kllms,"El hombre es proveedor - la mujer es la que impulsa al hombre ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
51,https://www.youtube.com/watch?v=oqX65S_QWaU,"Mis errores. Organízate desde el día 1 ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
52,https://www.youtube.com/watch?v=ZUVxvwuv2H4,"El mundo necesita + gente despierta Ayuda a tu pana emprendedor ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
53,https://www.youtube.com/watch?v=W99c5O1DGDo,"💥Humanizar las redes sociales ❌ No juzgar Ni criticar ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
54,https://www.youtube.com/watch?v=sLy4Fgb6UW4,"CUIDADO nos tienen “entretenidos” , y lo más importante eres TÚ ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
55,https://www.youtube.com/watch?v=HJWSJga6TOc,"DEBES SER EL PROVEEDOR eso de 50/50 es para perdedores ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
56,https://www.youtube.com/watch?v=lBgB2BFz6IM,"La escasez esta en tu corazón ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
57,https://www.youtube.com/watch?v=G2rHOKnclkQ,"SANE MI PASADO ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
58,https://www.youtube.com/watch?v=S1qOpWXmkr8,"NOS VEMOS EN LA CIMA ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
59,https://www.youtube.com/watch?v=Xip-kdGsn50,"BUENAS VIRAS Y ENERGIAS ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
60,https://www.youtube.com/watch?v=m2vOsf1nLKo,"MENTOR DE PODER Y SU IMPORTANCIA ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
61,https://www.youtube.com/watch?v=CGySkjWu7jA,"REGRESE CON PODER ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
62,https://www.youtube.com/watch?v=9dKWxQy3mdE,"EL RETIRO ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
63,https://www.youtube.com/watch?v=1N4f_W_AsVs,"EL DAÑO DEL QUE DIRAN ",youtube,@Gocholive,SIN DATO, Goholive,SIN DATO,SIN DATO,0,video-largo,no
64,https://www.youtube.com/watch?v=HNDoK0sWeRU,"VIEJA ESCUELA? ",youtube,@Gocholive,SIN DATO, Goholive,SIN DATO,SIN DATO,0,video-largo,no
65,https://www.youtube.com/watch?v=bpLlfsU0QVE,"TOMA ACCION ",youtube,@Gocholive,SIN DATO, Gocholive,SIN DATO,SIN DATO,0,video-largo,no
66,https://www.youtube.com/watch?v=fZrJUDImQR8,"¿COMO PUEDES APRENDER TRADING DESDE 0 Y POR QUE ES COMO APRENDER A VOLAR UN AVION?",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1881,video-largo,no
67,https://www.youtube.com/watch?v=7aY8GAKpuDA,"COMO USAR METATRADER 4 DESDE LA PC",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1554,video-largo,no
68,https://www.youtube.com/watch?v=hdXBtrthVOo,"Riesgo / Beneficio",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,77,video-largo,no
69,https://www.youtube.com/watch?v=FkOSyOGE4Xw,"BITCOIN QUE VIENE 😱😱😱 LOS DOS ULTIMOS DIAS DE MAYO SON DECISIVOS. APRENDE EL PORQUE?",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,707,video-largo,no
70,https://www.youtube.com/watch?v=hHj815wKwBw,"SEGUIRA EN PICADA EL BITCOIN?",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,607,video-largo,no
71,https://www.youtube.com/watch?v=Y4D0kbLfH4E,"CÓMO ANALIZAR un PROYECTO NFT? AQUI TE DEJO EL PASO A PASO",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,2100,video-largo,no
72,https://www.youtube.com/watch?v=Aex8OolQd60,"CAMBIOS EN AXIE INFINITY.. 1% + DE COMISION - CODIGO CREADOR DE CONTENIDO..FOMO CON CARTAS DE ORIGIN",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,979,video-largo,no
73,https://www.youtube.com/watch?v=0bpt_afrWYw,"RONIN WALLET COMO DESCARGARLA Y USARLA",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,876,video-largo,no
74,https://www.youtube.com/watch?v=enQ3Sticekc,"COMO COMPRAR UN NFT EN SOLANA",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,756,video-largo,no
75,https://www.youtube.com/watch?v=TLiJ3_rqR5Q,"RADICALES CAMBIOS  EN AXIE INFINITY.. EL MENSAJE ES CLARO.",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,547,video-largo,no
76,https://www.youtube.com/watch?v=cNcDfLyhyiQ,"M VOLVI LOCO ME SALGO DEL FARM DE $RON",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1035,video-largo,no
77,https://www.youtube.com/watch?v=gamUXG6vAeg,"RONIN 0.5 % DE RETORNO DIARIO EN LA FARM DE KATANA",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,211,video-largo,no
78,https://www.youtube.com/watch?v=bdmMDxpaqew,"$RON de AXIE INFINITY  ESTA EN VIVO .. AHORA PUEDES RECLAMAR TUS TOKNES Y AQUI TE DIGO COMO",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,928,video-largo,no
79,https://www.youtube.com/watch?v=7_Oc9YDErp0,"🔥 Liberación de Axie 🔥 ¡Todos a bordo del Lunacian Express!",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1432,video-largo,no
80,https://www.youtube.com/watch?v=JTiXyHCsT2s,"ME VOLVI LOCO VENDI MI #MAYC MUTANT APE YATCH CLUB  Y ENTRO A CRYPTOSKULLS",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,527,video-largo,no
81,https://www.youtube.com/watch?v=1zfpEUusew4,"Aprender KATANA desde cero.",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,8148,video-largo,no
82,https://www.youtube.com/watch?v=gqJgehkHy80,"💥Trading en Vivo Futuros del NQ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4005,live,no
83,https://www.youtube.com/watch?v=YzKgVW40UBQ,"💥Trading en Vivo Futuros del NQ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,6676,live,no
84,https://www.youtube.com/watch?v=CEr3dT-n-0M,"💥Trading en Vivo Futuros del NQ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,7526,live,no
85,https://www.youtube.com/watch?v=GUAFWyQQkTI,"💥Trading en Vivo Futuros del NQ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,5005,live,no
86,https://www.youtube.com/watch?v=lnnVJXH8GQs,"💥Estructura para Fondeos NO FALLES",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,5075,live,no
87,https://www.youtube.com/watch?v=VBDD4u5bCIs,"💥Trading de Futuros NASDAQ en vivo 5/5/2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,12981,live,no
88,https://www.youtube.com/watch?v=mHjY6y28Ih8,"💥💥 Trading de Futuros NASDAQ en vivo",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,10646,live,no
89,https://www.youtube.com/watch?v=A5TCirVWzfY,"🚨ALERTA Empresas de Fondeo REGLAS",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4925,live,no
90,https://www.youtube.com/watch?v=zgZMCmIrJC4,"Trading en Vivo 20 de Abril",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,6986,live,no
91,https://www.youtube.com/watch?v=JWUsjGKX9Io,"Trading de Futuros, Fondeos y mas",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,3387,live,no
92,https://www.youtube.com/watch?v=uXhoxhtwPwM,"FONDEOS hacer $2K a $5K al mes ES POSIBLE",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,6349,live,no
93,https://www.youtube.com/watch?v=BAssimL7Dd0,"Deja de Fallar en Trading .. Logra el Exito y Retiros",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4851,live,no
94,https://www.youtube.com/watch?v=mafGHi437GM,"EL TRUCO de las Empresas de Fondeo",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4705,live,no
95,https://www.youtube.com/watch?v=HwEH2IjC_qI,"EL SECRETO Ganale a TOPSTEP",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,6106,live,no
96,https://www.youtube.com/watch?v=0c6vCB7WEJg,"Apex NUEVAS CUENTAS DE FONDEO",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,3505,live,no
97,https://www.youtube.com/watch?v=toIS36NC0og,"Como hago Trading desde mi Telefono con Fondeos y controlo mas de 40 cuentas",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,5841,live,no
98,https://www.youtube.com/watch?v=XgW-WpWjR3A,"Fodeando 5 cuentas de Futuros EN VIVO",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,14516,live,no
99,https://www.youtube.com/watch?v=2WSRnNgykTE,"Descubri la forma mas SEGURA para vivir del TRADING",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,5151,live,no
100,https://www.youtube.com/watch?v=6iF65UYo3Dw,"Analizando La Bolsa - Trader En Vivo - 08 de Febrero 2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,5815,live,no
101,https://www.youtube.com/watch?v=HgVuXRL3Ef8,"Analizando La Bolsa - Trader En Vivo - 01 deFebrero 2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4641,live,no
102,https://www.youtube.com/watch?v=q6ntLaIetS0,"Analizando La Bolsa - Trader En Vivo - 25 de Enero 2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,5047,live,no
103,https://www.youtube.com/watch?v=2Dcsnf9aQhE,"Analizando La Bolsa - Trader En Vivo - 18 de Enero 2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,3930,live,no
104,https://www.youtube.com/watch?v=cuDUD3HYIv0,"Analizando La Bolsa - Trader En Vivo - Enero 11 2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,3710,live,no
105,https://www.youtube.com/watch?v=HXQTCMiP3hg,"COMO LOGRAR Fondeos sin Faller en el Intento?",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4925,live,no
106,https://www.youtube.com/watch?v=UPkesWsykzE,"¿Es posible ganar $100K-$200K al año con trading? Descúbrelo",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,8161,live,no
107,https://www.youtube.com/watch?v=yHh0XCEzm54,"CALCULA LA DIFICULTAD DE TU PROP FIRM",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,2609,live,no
108,https://www.youtube.com/watch?v=a4SG8LeImZc,"PUEDO VIVIR DEL TRADING? Y CURSO GRATUITO 100% EN  LA DESCRIPCION",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,2501,live,no
109,https://www.youtube.com/watch?v=J1BnCxrncQw,"EN VIVO CON EL GOCHO",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,3036,live,no
110,https://www.youtube.com/shorts/HbtatC9fzRE,"Comenta Sistema te envío la clase gratuita #trading #libertadfinanciera #dinero",youtube,@Gocholive,SIN DATO,1800,SIN DATO,SIN DATO,SIN DATO,short,no
111,https://www.youtube.com/shorts/zdewWVYWqAw,"Verdades del Trading #daytrading #trading",youtube,@Gocholive,SIN DATO,1200,SIN DATO,SIN DATO,SIN DATO,short,no
112,https://www.youtube.com/shorts/jQkDVg5icI8,"¿Que necesito para hacer Trading? #trading #daytrading",youtube,@Gocholive,SIN DATO,1500,SIN DATO,SIN DATO,SIN DATO,short,no
